release,distributor,seasons,adjusted_gross
Captain America: The Winter Soldier,Walt Disney Studios Motion Pictures,spring,332501212
Captain Corelli's Mandolin,Universal Pictures,summer,43680060
Captain Marvel,Walt Disney Studios Motion Pictures,spring,507927508
Captain Phillips,Sony Pictures Entertainment (SPE),fall,136029474
Captain Ron,Walt Disney Studios Motion Pictures,fall,48864270
Captain Underpants: The First Epic Movie,Twentieth Century Fox,summer,90922830
Care Bears Movie II: A New Generation,Columbia Pictures,spring,22073666
Carlito's Way,Universal Pictures,holiday season,77591476
Carrie,Screen Gems,fall,45846604
Cars,Walt Disney Studios Motion Pictures,summer,368565302
Cars 2,Walt Disney Studios Motion Pictures,summer,260375258
Cars 3,Walt Disney Studios Motion Pictures,summer,188068371
Casino,Universal Pictures,holiday season,73100679
Casino Royale,Sony Pictures Entertainment (SPE),holiday season,231833235
Casper,Universal Pictures,summer,199653106
Cast Away,Twentieth Century Fox,holiday season,388804749
Casual Sex?,Universal Pictures,spring,31797678
Casualties of War,Columbia Pictures,summer,46118152
Cat People,Universal Pictures,spring,22190000
Cat's Eye,Metro-Goldwyn-Mayer (MGM),spring,37165086
Catch Me If You Can,DreamWorks Distribution,holiday season,274118239
Cats,Universal Pictures,holiday season,8348142
Cats & Dogs,Warner Bros.,summer,159689230
Cats & Dogs: The Revenge of Kitty Galore,Warner Bros.,summer,60148339
Cattle Annie and Little Britches,Universal Pictures,spring,1839767
Catwoman,Warner Bros.,summer,65127853
Cellular,New Line Cinema,fall,51848401
Central Intelligence,Warner Bros.,summer,160575497
Chain Reaction,Twentieth Century Fox,summer,41178835
Chained Heat,-,summer,18818947
Chances Are,TriStar Pictures,spring,40208117
Changeling,Universal Pictures,fall,50549468
Changing Lanes,Paramount Pictures,spring,112923346
Chaos Walking,Lionsgate,spring,15148215
Chappie,Sony Pictures Entertainment (SPE),spring,40408663
Chariots of Fire,Columbia Pictures,fall,186972727
Charlie St. Cloud,Universal Pictures,summer,43004312
Charlie Wilson's War,Universal Pictures,holiday season,57223970
Charlie and the Chocolate Factory,Warner Bros.,summer,324140749
Charlie's Angels,Sony Pictures Entertainment (SPE),holiday season,217168020
Charlie's Angels: Full Throttle,Sony Pictures Entertainment (SPE),summer,166369683
Charlotte's Web,Paramount Pictures,holiday season,123823634
Cheaper by the Dozen,Twentieth Century Fox,holiday season,226224123
Cheaper by the Dozen 2,Twentieth Century Fox,holiday season,127440005
Cheech and Chong's Next Movie,Universal Pictures,summer,160449496
Cheetah,Walt Disney Studios Motion Pictures,summer,20139582
Chef,Open Road Films (II),summer,40222723
Chicago,Miramax,holiday season,276394687
Chicken Little,Walt Disney Studios Motion Pictures,holiday season,206839646
Chicken Run,DreamWorks Distribution,summer,189097178
Child's Play,United Artists,holiday season,86103731
Child's Play,United Artists Releasing,summer,34757999
Child's Play 2,Universal Pictures,holiday season,66978771
Child's Play 3,Universal Pictures,summer,33211766
Children of Men,Universal Pictures,holiday season,51014976
Children of a Lesser God,Paramount Pictures,fall,86493788
Children of the Corn,New World Pictures,spring,37481674
Chocolat,Miramax,holiday season,116345501
Christine,Columbia Pictures,holiday season,63192850
Christmas with the Chosen: The Messengers,Fathom Events,holiday season,15649919
Christmas with the Kranks,Revolution Studios,holiday season,116795362
Christopher Robin,Walt Disney Studios Motion Pictures,summer,120050200
Chronicle,Twentieth Century Fox,winter,85239231
Cinderella,Walt Disney Studios Motion Pictures,spring,257473731
Cinderella Man,Universal Pictures,summer,96790360
Cinderella1981 Re-release,Walt Disney Studios Motion Pictures,holiday season,89354799
Cinderella1987 Re-release,Walt Disney Studios Motion Pictures,holiday season,75621567
Circle of Friends,-,spring,46546050
City Hall,Sony Pictures Entertainment (SPE),winter,39459995
City Heat,Warner Bros.,holiday season,111384063
City Slickers,Columbia Pictures,summer,275355016
City Slickers II: The Legend of Curly's Gold,Columbia Pictures,summer,89425407
City of Angels,Warner Bros.,spring,145567460
City of Joy,TriStar Pictures,spring,31864108
Clash of the Titans,Warner Bros.,spring,225236545
Class,Orion Pictures,summer,66303434
Class Act,Warner Bros.,summer,28800485
Class Action,Twentieth Century Fox,spring,53896844
Class Reunion,Twentieth Century Fox,fall,31871655
Clean and Sober,Warner Bros.,summer,22465900
Clear and Present Danger,Paramount Pictures,summer,250484819
Click,Revolution Studios,summer,207407005
Cliffhanger,TriStar Pictures,summer,176503343
Clifford the Big Red Dog,Paramount Pictures,holiday season,55799985
Cloak and Dagger,Universal Pictures,summer,28576658
Clockstoppers,Paramount Pictures,spring,62513025
Closer,Sony Pictures Entertainment (SPE),holiday season,41727747
Cloudy with a Chance of Meatballs,Sony Pictures Entertainment (SPE),fall,175953189
Cloudy with a Chance of Meatballs 2,Sony Pictures Entertainment (SPE),fall,151914690
Cloverfield,Paramount Pictures,winter,113668774
Club Paradise,Warner Bros.,summer,33602262
Clueless,Paramount Pictures,summer,112696828
Coach Carter,Paramount Pictures,winter,105605856
Coal Miner's Daughter,Universal Pictures,spring,258653729
Cobra,Warner Bros.,summer,133885271
Cocktail,Walt Disney Studios Motion Pictures,summer,202596930
Coco,Walt Disney Studios Motion Pictures,holiday season,257365161
Cocoon,Twentieth Century Fox,summer,216161272
Cocoon: The Return,Twentieth Century Fox,holiday season,39235182
Code of Silence,Orion Pictures,spring,57780825
Cold Mountain,Miramax,holiday season,155766794
Cold Pursuit,Lionsgate,winter,38245245
Collateral,DreamWorks Distribution,summer,163629238
Collateral Damage,Warner Bros.,winter,67730564
College Road Trip,Walt Disney Studios Motion Pictures,spring,64766803
Colombiana,TriStar Pictures,summer,49865561
Color of Night,Walt Disney Studios Motion Pictures,summer,40438402
Colors,Orion Pictures,spring,120735613
Come Play,Focus Features,fall,11026426
Coming to America,Paramount Pictures,summer,331914459
Commando,Twentieth Century Fox,fall,99684000
Compromising Positions,Paramount Pictures,summer,35590400
Con Air,Walt Disney Studios Motion Pictures,summer,190101037
Conan the Barbarian,Universal Pictures,summer,125422555
Conan the Destroyer,Universal Pictures,summer,91263582
Coneheads,Paramount Pictures,summer,44676905
Confessions of a Shopaholic,Walt Disney Studios Motion Pictures,winter,62873837
Confessions of a Teenage Drama Queen,Walt Disney Studios Motion Pictures,winter,47516330
Congo,Paramount Pictures,summer,161233980
Consenting Adults,Walt Disney Studios Motion Pictures,fall,46854049
Conspiracy Theory,Warner Bros.,summer,142847727
Constantine,Warner Bros.,winter,119217909
Contact,Warner Bros.,summer,186195649
Contagion,Warner Bros.,fall,102895011
Continental Divide,Universal Pictures,fall,53589135
Contraband,Universal Pictures,winter,87816960
Cool Runnings,Walt Disney Studios Motion Pictures,fall,127965801
Cool World,Paramount Pictures,summer,30619978
Cop & ½,Universal Pictures,spring,66968351
Cop Land,Miramax,summer,84340911
Cop Out,Warner Bros.,winter,61928163
Copshop,Open Road Films (II),fall,5943097
Copycat,Warner Bros.,fall,58069527
Coraline,Focus Features,winter,106906445
Corky Romano,Walt Disney Studios Motion Pictures,fall,40385897
Corpse Bride,Warner Bros.,fall,83773804
"Corrina, Corrina",New Line Cinema,summer,37400853
Countdown,STX Entertainment,fall,30457299
Country,Walt Disney Studios Motion Pictures,fall,21791071
Couples Retreat,Universal Pictures,fall,153782400
Courage Under Fire,Twentieth Century Fox,summer,114520250
Cousins,Paramount Pictures,winter,54405131
Cowboys & Aliens,Universal Pictures,summer,136327149
Coyote Ugly,Walt Disney Studios Motion Pictures,summer,107591696
Cradle 2 the Grave,Warner Bros.,winter,57275372
Crash,Lionsgate,summer,83845562
Crawl,Paramount Pictures,summer,46426889
Crazy Heart,-,holiday season,53796686
Crazy People,Paramount Pictures,spring,31105805
Crazy Rich Asians,Warner Bros.,summer,210587275
"Crazy, Stupid, Love.",Warner Bros.,summer,114717627
Creed,Warner Bros.,holiday season,127213011
Creed II,Metro-Goldwyn-Mayer (MGM),holiday season,136062709
Creepshow,Warner Bros.,holiday season,66661153
Creepshow 2,New World Pictures,spring,37660000
Crimes and Misdemeanors,Orion Pictures,fall,45089113
Crimes of the Heart,De Laurentiis Entertainment Group (DEG),holiday season,61960261
Criminal Law,Hemdale,spring,24636881
Crimson Peak,Universal Pictures,fall,39795609
Crimson Tide,Walt Disney Studios Motion Pictures,summer,181860518
Critical Condition,Paramount Pictures,winter,54446950
Critters,New Line Cinema,spring,34235447
Crocodile Dundee,Paramount Pictures,fall,463313374
Crocodile Dundee II,Paramount Pictures,summer,283103083
Crocodile Dundee in Los Angeles,Paramount Pictures,spring,43837016
Crossing Delancey,Warner Bros.,summer,42119654
Crossroads,Paramount Pictures,winter,62853303
"Crouching Tiger, Hidden Dragon",Sony Pictures Classics,holiday season,198868410
Cruel Intentions,Sony Pictures Entertainment (SPE),spring,69757991
Cruella,Walt Disney Studios Motion Pictures,summer,98157686
Cry Macho,Warner Bros.,fall,11608972
Cujo,Warner Bros.,summer,64737825
Curious George,Universal Pictures,winter,88124747
Curly Sue,Warner Bros.,fall,74794714
Cut Throat City,Well Go USA Entertainment,summer,981170
Cyborg,Cannon Film Distributors,spring,25111153
D.C. Cab,Universal Pictures,holiday season,48164811
D.O.A.,Walt Disney Studios Motion Pictures,spring,32909778
D2: The Mighty Ducks,Walt Disney Studios Motion Pictures,spring,93501340
D3: The Mighty Ducks,Walt Disney Studios Motion Pictures,fall,44532888
DC League of Super-Pets,Warner Bros.,summer,99276544
Dad,Universal Pictures,fall,54594501
Daddy Day Care,Revolution Studios,summer,172090150
Daddy's Home,Paramount Pictures,holiday season,190743677
Daddy's Home 2,Paramount Pictures,holiday season,125203398
Daddy's Little Girls,Lionsgate,winter,46423127
Dan in Real Life,Walt Disney Studios Motion Pictures,fall,69359082
Dance with Me,Sony Pictures Entertainment (SPE),summer,29457775
Dances with Wolves,Orion Pictures,holiday season,405747512
Dangerous Liaisons,Warner Bros.,holiday season,84821447
Dangerous Minds,Walt Disney Studios Motion Pictures,summer,168989607
Dante's Peak,Universal Pictures,winter,126200188
Daredevil,Twentieth Century Fox,winter,169196804
Dark Shadows,Warner Bros.,summer,105239836
Dark Water2005 Re-release,Walt Disney Studios Motion Pictures,summer,39993162
Darkest Hour,Focus Features,holiday season,46386019
Darkman,Universal Pictures,summer,79614479
Darkness Falls,Revolution Studios,winter,53714319
Das Boot,Columbia Pictures,winter,34601342
Date Movie,Twentieth Century Fox,winter,73308123
Date Night,Twentieth Century Fox,spring,136221737
Dave,Warner Bros.,summer,132868491
Dawn of the Dead,Universal Pictures,spring,95613950
Dawn of the Planet of the Apes,Twentieth Century Fox,summer,266938353
Daybreakers,Lionsgate,winter,41540176
Daylight,Universal Pictures,holiday season,50188449
Days of Thunder,Paramount Pictures,summer,194276222
Dead Again,Paramount Pictures,summer,84396363
Dead Bang,Warner Bros.,spring,20070212
Dead Man Walking,Gramercy Pictures (I),holiday season,76087125
Dead Men Don't Wear Plaid,Universal Pictures,summer,57681858
Dead Poets Society,Walt Disney Studios Motion Pictures,summer,236774486
Dead Presidents,Walt Disney Studios Motion Pictures,fall,48052886
Deadly Friend,Warner Bros.,fall,24539235
Deadpool,Twentieth Century Fox,winter,457469093
Deadpool 2,Twentieth Century Fox,summer,385374625
Deal of the Century,Warner Bros.,holiday season,31730917
Dear Evan Hansen,Universal Pictures,fall,17103016
Dear John,Screen Gems,winter,110420481
Death Becomes Her,Universal Pictures,summer,126777150
Death Race,Universal Pictures,summer,51568765
Death Warrant,Metro-Goldwyn-Mayer (MGM),fall,39605694
Death Wish,Metro-Goldwyn-Mayer (MGM),winter,41160603
Death Wish 3,Cannon Film Distributors,fall,45771933
Death Wish II,-,winter,37318783
Death at a Funeral,Screen Gems,spring,58980298
Death on the Nile,20th Century Studios,winter,48367910
Deathstalker,New World Pictures,summer,36472905
Deathtrap,Warner Bros.,spring,61124364
Deceived,Walt Disney Studios Motion Pictures,fall,63798573
Deck the Halls,Twentieth Century Fox,holiday season,52478481
Deep Blue Sea,Warner Bros.,summer,134039618
Deep Cover,New Line Cinema,spring,36108363
Deep Impact,Paramount Pictures,summer,259859628
DeepStar Six,TriStar Pictures,winter,20113765
Deepwater Horizon,Lionsgate,fall,77406244
Defending Your Life,Warner Bros.,spring,36343904
Defiance,Paramount Vantage,holiday season,40639797
"Definitely, Maybe",Universal Pictures,winter,45783141
Deja Vu,Walt Disney Studios Motion Pictures,holiday season,92977463
Deliver Us from Evil,Screen Gems,summer,39138716
Delivery Man,Walt Disney Studios Motion Pictures,holiday season,38616349
Demolition Man,Warner Bros.,fall,121917112
Demon Slayer the Movie: Mugen Train,FUNimation Entertainment,spring,56435709
Den of Thieves,STX Entertainment,winter,54386622
Dennis the Menace,Warner Bros.,summer,107668606
Derailed,The Weinstein Company,holiday season,55998127
Desperado,Sony Pictures Entertainment (SPE),summer,50556835
Desperately Seeking Susan,Orion Pictures,spring,77811978
Despicable Me,Universal Pictures,summer,346494595
Despicable Me 2,Universal Pictures,summer,478131251
Despicable Me 3,Universal Pictures,summer,325487889
Deuce Bigalow: Male Gigolo,Walt Disney Studios Motion Pictures,holiday season,118102249
Devil,Universal Pictures,fall,46369642
Devil in a Blue Dress,Sony Pictures Entertainment (SPE),fall,32120235
Devotion,Columbia Pictures,holiday season,21028218
Diary of a Mad Black Woman,Lionsgate,winter,79493965
Diary of a Wimpy Kid,Twentieth Century Fox,spring,88325002
Diary of a Wimpy Kid: Dog Days,Twentieth Century Fox,summer,64691433
Diary of a Wimpy Kid: Rodrick Rules,Twentieth Century Fox,spring,71670007
Dick Tracy,Walt Disney Studios Motion Pictures,summer,243786006
Die Another Day,Metro-Goldwyn-Mayer (MGM),holiday season,251413794
Die Hard,Twentieth Century Fox,summer,214992926
Die Hard 2,Twentieth Century Fox,summer,276221225
Die Hard with a Vengeance,Twentieth Century Fox,summer,184536083
Diner,Metro-Goldwyn-Mayer (MGM),spring,44696851
Dinner for Schmucks,DreamWorks,summer,100776345
Dinosaur,Walt Disney Studios Motion Pictures,summer,243814071
Dirty Dancing,Vestron Pictures,summer,138831935
Dirty Grandpa,Lionsgate,winter,44847322
Dirty Rotten Scoundrels,Orion Pictures,holiday season,105999665
Disclosure,Warner Bros.,holiday season,167843713
Disorderlies,Warner Bros.,summer,27837295
District 9,TriStar Pictures,summer,164217653
Disturbia,DreamWorks,spring,118710344
Disturbing Behavior,Metro-Goldwyn-Mayer (MGM),summer,32402713
Divergent,Lionsgate,spring,193213305
Divine Madness,Warner Bros.,fall,20474677
Divine Secrets of the Ya-Ya Sisterhood,Warner Bros.,summer,117622337
Django Unchained,The Weinstein Company,holiday season,213019175
Do the Right Thing,Universal Pictures,summer,68037249
Doc Hollywood,Warner Bros.,summer,121724329
Doctor Detroit,Universal Pictures,summer,31750232
Doctor Dolittle,Twentieth Century Fox,summer,266689719
Doctor Sleep,Warner Bros.,holiday season,37536285
Doctor Strange,Walt Disney Studios Motion Pictures,holiday season,289644184
Doctor Strange in the Multiverse of Madness,Walt Disney Studios Motion Pictures,summer,436011503
Dodgeball: A True Underdog Story,Twentieth Century Fox,summer,185209312
Dog,United Artists Releasing,winter,65484753
Dogma,Lionsgate,holiday season,52401618
Dolittle,Universal Pictures,winter,89374595
Dolores Claiborne,Sony Pictures Entertainment (SPE),spring,48480115
Dolphin Tale,Warner Bros.,fall,97814893
Dolphin Tale 2,Warner Bros.,fall,53791402
Domestic Disturbance,Paramount Pictures,fall,76476988
Don Juan DeMarco,New Line Cinema,spring,44079397
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Miramax,winter,39011683
Don't Breathe,Screen Gems,summer,112414522
